game_number,strategy,seed,turns_survived,survived_target,final_people,max_people,final_food,max_food,total_hunts,successful_hunts,hunt_failures,hunt_deaths,total_food_rolls,total_food_gained,kinship_started,kinship_completed,tech_sets_completed,tech_upgrades_completed,prayer_earned,prayer_spent,sacrifices,events_ignored
57,random,100057,7,False,0,5,10,18,5,2,3,3,3,4,0,0,0,0,1,0,2,0
58,random,100058,19,False,0,5,22,24,8,6,2,2,5,12,3,3,0,2,7,4,4,2
59,random,100059,5,False,0,5,12,12,2,0,2,2,1,3,1,1,0,1,1,0,2,0
60,random,100060,16,False,0,6,0,14,8,5,3,3,8,16,6,6,1,2,7,6,1,3
61,random,100061,5,False,1,5,0,7,2,0,2,2,2,3,2,1,0,0,2,2,0,1
62,random,100062,6,False,3,6,0,7,1,1,0,0,2,3,5,1,0,0,1,0,1,0
63,random,100063,2,False,3,5,0,7,1,0,1,1,0,0,2,0,0,0,0,0,0,0
64,random,100064,6,False,1,5,0,7,4,2,2,2,1,2,2,1,0,1,0,0,1,0
65,random,100065,19,False,0,5,26,28,5,4,1,1,12,19,1,1,2,3,2,2,3,1
66,random,100066,7,False,0,5,0,7,4,1,3,3,4,8,1,1,1,1,1,0,0,0
67,random,100067,11,False,0,5,17,19,3,3,0,0,5,10,0,0,1,4,2,2,5,1
68,random,100068,9,False,0,5,8,10,4,3,1,1,4,8,0,0,0,1,1,0,4,0
69,random,100069,6,False,0,5,10,10,3,1,2,2,2,3,2,2,0,1,0,0,2,0
70,random,100070,6,False,3,5,0,7,1,0,1,1,2,5,4,1,0,0,0,0,2,0
71,random,100071,28,False,0,5,15,22,10,5,5,5,12,17,4,4,2,3,9,8,4,4
72,random,100072,18,False,0,6,18,18,6,5,1,1,13,23,3,3,1,2,8,8,5,4
73,random,100073,2,False,3,5,0,7,0,0,0,0,1,1,2,0,0,1,0,0,1,0
74,random,100074,17,False,0,5,5,8,5,3,2,2,5,11,3,3,1,1,6,4,0,2
75,random,100075,5,False,3,5,0,7,0,0,0,0,2,4,4,2,0,1,0,0,1,0
76,random,100076,7,False,1,5,0,7,2,2,0,0,4,8,2,1,0,2,1,0,2,0
77,random,100077,12,False,0,5,0,7,4,1,3,3,5,10,1,1,1,1,3,2,1,1
78,random,100078,7,False,1,5,0,7,3,2,1,1,1,1,3,2,0,0,4,0,0,0
79,random,100079,15,False,1,7,0,14,8,6,2,2,7,9,8,6,2,2,3,2,1,1
80,random,100080,8,False,0,5,5,7,6,2,4,4,10,15,1,1,1,1,2,0,0,0
81,random,100081,4,False,1,5,0,7,2,0,2,2,1,2,2,1,0,0,0,0,0,0
82,random,100082,8,False,1,5,0,8,4,3,1,1,2,2,4,2,0,1,3,2,2,1
83,random,100083,10,False,0,5,10,10,4,2,2,2,4,4,3,3,0,0,3,2,1,1
84,random,100084,8,False,1,5,0,13,2,0,2,2,1,2,4,2,1,1,1,0,2,0
85,random,100085,4,False,3,5,0,7,1,1,0,0,2,3,3,1,0,1,0,0,1,0
86,random,100086,15,False,0,5,17,20,6,5,1,1,6,10,1,0,0,1,8,8,5,4
87,random,100087,15,False,1,5,0,15,5,5,0,0,7,12,6,5,1,2,8,8,2,4
88,random,100088,25,False,0,6,0,7,9,8,1,1,8,15,10,10,2,3,15,12,2,6
89,random,100089,6,False,1,5,0,7,2,1,1,1,1,1,3,2,0,1,1,0,1,0
90,random,100090,4,False,1,5,0,7,2,1,1,1,2,2,2,0,0,1,4,2,2,1
91,random,100091,22,False,0,6,13,17,5,2,3,3,11,9,5,5,2,2,6,4,4,2
92,random,100092,6,False,0,5,0,12,1,1,0,0,2,4,0,0,1,3,4,0,4,0
93,random,100093,11,False,1,6,0,9,6,5,1,1,5,6,6,4,1,2,2,0,2,0
94,random,100094,9,False,0,6,0,12,4,3,1,1,3,7,4,4,1,2,2,2,3,1
95,random,100095,30,False,0,5,3,16,3,1,2,2,14,28,4,4,2,3,14,14,5,7
96,random,100096,6,False,1,5,0,7,3,1,2,2,3,5,3,1,1,1,1,0,1,0
97,random,100097,7,False,0,5,9,9,2,0,2,2,4,5,1,1,0,2,3,2,3,1
98,random,100098,7,False,1,5,0,7,1,0,1,1,1,2,4,3,0,0,1,0,0,0
99,random,100099,16,False,0,5,14,14,7,5,2,2,3,8,1,1,1,3,6,6,4,3
100,random,100100,16,False,0,5,34,35,7,4,3,3,10,22,2,0,0,0,6,6,4,3
101,random,100101,6,False,0,5,0,7,1,0,1,1,1,3,2,2,0,2,0,0,2,0
102,random,100102,8,False,1,5,0,7,0,0,0,0,2,3,4,3,0,0,4,4,0,2
103,random,100103,10,False,1,5,0,11,3,1,2,2,3,4,3,2,1,2,2,2,2,1
104,random,100104,5,False,1,5,0,7,1,0,1,1,2,4,2,1,0,1,1,0,1,0
105,random,100105,5,False,1,5,0,7,0,0,0,0,1,2,2,1,0,2,1,0,2,0
106,random,100106,10,False,0,6,0,7,3,1,2,2,4,7,3,2,1,1,5,2,2,1
107,random,100107,14,False,1,7,0,9,9,8,1,1,6,8,6,5,2,2,0,0,0,0
108,random,100108,9,False,1,5,0,7,3,3,0,0,1,2,4,3,0,0,2,0,0,0
109,random,100109,5,False,3,5,0,7,2,1,1,1,1,2,3,1,1,1,0,0,0,0
110,random,100110,8,False,3,5,0,7,4,3,1,1,6,13,4,2,1,1,3,2,0,1
111,random,100111,10,False,1,5,0,12,4,1,3,3,7,12,3,2,1,1,2,0,0,0
112,random,100112,20,False,0,7,0,12,10,5,5,5,5,10,10,10,2,2,9,6,3,3
113,random,100113,11,False,1,6,0,7,4,3,1,1,8,14,4,3,0,2,6,4,2,2
114,random,100114,12,False,1,7,0,8,5,3,2,2,7,11,5,4,0,2,5,4,3,2
115,random,100115,8,False,0,5,0,11,2,1,1,1,5,11,2,1,0,0,5,0,2,0
116,random,100116,10,False,1,6,0,7,5,3,2,2,6,13,4,3,2,2,3,2,0,1
117,random,100117,21,False,1,6,0,13,12,10,2,2,16,24,8,7,1,1,12,12,2,6
118,random,100118,8,False,0,5,0,7,3,0,3,3,4,6,1,1,1,1,0,0,0,0
119,random,100119,5,False,0,5,18,18,4,2,2,2,5,9,0,0,0,2,1,0,3,0
120,random,100120,39,False,0,5,32,32,14,12,2,2,16,27,6,6,3,6,20,20,8,10
121,random,100121,4,False,1,5,0,7,1,0,1,1,1,1,2,1,0,1,0,0,1,0
122,random,100122,12,False,0,5,10,10,6,3,3,3,3,7,4,4,0,0,3,0,1,0
123,random,100123,14,False,0,5,27,30,5,4,1,1,4,8,2,2,1,1,3,2,4,1
124,random,100124,12,False,1,5,0,7,3,3,0,0,8,12,4,3,2,2,7,6,0,3
125,random,100125,22,False,0,5,11,14,7,5,2,2,9,19,6,5,1,3,4,2,4,1
126,random,100126,15,False,0,5,11,11,1,1,0,0,8,19,3,3,0,2,8,6,4,3
127,random,100127,7,False,1,5,0,7,2,2,0,0,0,0,3,2,0,1,5,2,1,1
128,random,100128,11,False,1,5,0,11,3,2,1,1,6,11,5,4,0,0,4,2,1,1
129,random,100129,9,False,0,5,0,7,3,2,1,1,1,3,2,1,1,2,2,2,2,1
130,random,100130,17,False,0,5,0,13,5,2,3,3,4,7,2,1,1,2,8,8,4,4
131,random,100131,4,False,3,5,0,11,2,1,1,1,3,6,2,0,0,0,2,2,0,1
132,random,100132,7,False,1,5,0,8,3,3,0,0,1,1,3,2,1,3,2,2,2,1
133,random,100133,14,False,1,5,0,10,6,5,1,1,7,12,4,3,0,0,7,0,1,0
134,random,100134,10,False,0,5,15,18,6,4,2,2,7,15,0,0,1,4,5,0,3,0
135,random,100135,10,False,1,5,0,8,5,3,2,2,5,10,3,2,1,2,2,2,2,1
136,random,100136,19,False,0,5,19,19,12,11,1,1,8,12,5,4,1,2,6,6,5,3
137,random,100137,6,False,1,5,0,7,3,2,1,1,0,0,2,1,0,0,1,0,0,0
138,random,100138,16,False,3,7,0,13,6,5,1,1,8,12,10,8,1,1,9,8,1,4
139,random,100139,3,False,3,5,0,7,1,0,1,1,3,8,2,0,0,0,1,0,0,0
140,random,100140,5,False,1,5,0,7,1,0,1,1,1,2,2,1,0,0,3,2,0,1
141,random,100141,11,False,0,5,8,8,4,3,1,1,3,5,3,3,0,1,6,2,1,1
142,random,100142,15,False,1,7,0,13,5,3,2,2,6,12,6,4,0,2,6,4,4,2
143,random,100143,19,False,1,5,0,18,6,4,2,2,8,18,6,5,1,2,8,6,2,3
144,random,100144,12,False,0,5,0,7,2,1,1,1,7,13,3,3,0,1,8,2,1,1
145,random,100145,10,False,3,6,0,9,4,4,0,0,6,4,6,4,0,0,3,2,0,1
146,random,100146,3,False,3,5,0,7,0,0,0,0,1,2,3,0,0,1,1,0,2,0
147,random,100147,5,False,1,5,0,7,2,1,1,1,1,2,2,1,1,2,0,0,1,0
148,random,100148,16,False,1,6,0,16,7,5,2,2,5,8,7,6,0,0,5,4,1,2
149,random,100149,6,False,1,5,0,7,1,0,1,1,4,8,2,1,0,2,1,0,2,0
150,random,100150,32,False,0,5,6,11,10,8,2,2,12,18,4,3,1,3,12,10,3,5
151,random,100151,8,False,1,5,0,7,2,1,1,1,3,4,4,3,0,0,3,2,0,1
152,random,100152,6,False,1,5,0,7,1,1,0,0,3,5,2,1,0,1,3,2,1,1
153,random,100153,20,False,1,5,0,23,8,5,3,3,11,12,4,3,1,2,9,6,3,3
154,random,100154,8,False,0,5,0,10,3,2,1,1,8,14,2,0,1,2,5,4,3,2
155,random,100155,30,False,0,7,0,16,14,10,4,4,20,36,10,8,2,4,17,14,5,7
156,random,100156,36,False,0,5,0,17,15,10,5,5,17,33,6,6,4,4,20,18,2,9
157,random,100157,5,False,3,5,0,7,1,1,0,0,0,0,4,2,0,1,1,0,1,0
158,random,100158,7,False,1,5,0,7,1,1,0,0,1,1,4,3,0,1,0,0,1,0
159,random,100159,8,False,0,5,12,15,5,3,2,2,7,14,0,0,1,3,1,0,3,0
160,random,100160,9,False,0,5,0,17,4,2,2,2,6,9,3,2,0,1,2,2,3,1
161,random,100161,20,False,0,6,0,16,9,5,4,4,9,19,8,7,3,3,6,4,2,2
162,random,100162,8,False,1,5,0,7,5,3,2,2,5,7,2,1,1,1,2,0,0,0
163,random,100163,13,False,0,5,27,27,4,4,0,0,6,10,0,0,1,2,3,2,5,1
164,random,100164,6,False,0,5,16,17,4,2,2,2,4,7,1,1,0,3,4,2,4,1
165,random,100165,17,False,0,7,0,8,5,5,0,0,4,5,8,6,2,3,7,6,3,3
166,random,100166,7,False,3,7,0,12,5,4,1,1,3,6,4,2,0,1,4,4,2,2
167,random,100167,7,False,1,5,0,8,4,2,2,2,1,3,3,2,0,0,3,2,0,1
168,random,100168,10,False,3,6,0,8,5,3,2,2,10,15,6,4,0,0,1,0,0,0
169,random,100169,8,False,0,5,0,7,3,1,2,2,3,4,3,3,0,1,2,0,1,0
170,random,100170,9,False,0,5,0,12,6,3,3,3,2,4,2,2,1,2,3,0,1,0
171,random,100171,6,False,3,5,0,7,3,2,1,1,5,7,3,1,0,0,3,2,0,1
172,random,100172,30,False,0,6,13,29,8,5,3,3,24,46,7,5,2,3,9,8,8,4
173,random,100173,33,False,1,6,0,39,17,14,3,3,20,28,11,6,0,0,14,14,5,7
174,random,100174,8,False,0,5,20,21,4,2,2,2,7,11,0,0,1,2,1,0,3,0
175,random,100175,16,False,1,5,0,8,7,5,2,2,7,7,4,3,0,0,7,6,0,3
176,random,100176,6,False,3,6,0,8,3,3,0,0,4,4,4,1,0,0,2,2,1,1
177,random,100177,3,False,1,5,0,7,2,0,2,2,0,0,1,0,0,0,3,2,0,1
178,random,100178,7,False,3,5,0,7,3,2,1,1,6,9,4,2,0,0,1,0,0,0
179,random,100179,2,False,3,5,0,7,1,0,1,1,0,0,2,0,0,0,1,0,0,0
180,random,100180,10,False,0,5,1,7,4,2,2,2,7,13,2,2,2,4,5,2,3,1
181,random,100181,4,False,5,6,0,7,1,1,0,0,2,4,4,1,0,0,2,2,0,1
182,random,100182,12,False,0,6,0,7,3,2,1,1,4,7,4,2,0,0,7,4,1,2
183,random,100183,5,False,1,5,0,7,3,1,2,2,0,0,3,2,0,1,1,0,1,0
184,random,100184,8,False,0,5,6,7,2,1,1,1,2,4,1,1,2,2,4,4,2,2
185,random,100185,13,False,0,6,7,9,6,4,2,2,6,4,4,4,0,1,10,4,2,2
186,random,100186,8,False,1,6,0,10,2,2,0,0,4,8,5,3,0,3,2,0,4,0
187,random,100187,36,False,1,5,0,26,12,10,2,2,18,32,8,7,4,4,11,10,4,5
188,random,100188,15,False,0,5,0,7,3,3,0,0,3,7,3,3,1,2,5,4,1,2
189,random,100189,12,False,0,5,7,9,4,3,1,1,5,10,0,0,1,3,4,0,4,0
190,random,100190,11,False,0,5,0,13,5,2,3,3,7,10,2,2,2,2,5,4,1,2
191,random,100191,27,False,0,5,27,27,12,10,2,2,14,23,8,8,3,3,10,10,5,5
192,random,100192,9,False,0,5,0,7,3,1,2,2,4,7,3,3,0,0,3,0,0,0
193,random,100193,6,False,3,5,0,10,4,2,2,2,6,10,4,1,0,0,1,0,1,0
194,random,100194,9,False,0,5,23,24,5,3,2,2,3,5,2,1,0,1,4,2,3,1
195,random,100195,20,False,0,5,12,28,3,2,1,1,8,14,5,5,2,2,12,12,3,6
196,random,100196,50,True,1,7,40,40,29,22,7,7,33,75,12,12,9,11,33,30,8,15
197,random,100197,8,False,3,5,0,7,1,1,0,0,4,7,5,3,0,0,3,2,0,1
198,random,100198,8,False,1,5,0,14,2,1,1,1,5,8,3,2,0,0,3,2,1,1
199,random,100199,21,False,0,6,0,12,5,3,2,2,7,14,6,6,0,0,15,12,2,6
200,random,100200,16,False,0,5,0,8,5,3,2,2,6,12,6,4,0,1,2,2,3,1
201,random,100201,13,False,0,5,3,8,4,2,2,2,6,8,2,2,1,4,1,0,4,0
202,random,100202,5,False,0,5,0,7,4,1,3,3,1,2,2,0,0,0,3,0,2,0
